team_uri,team_name,stadium,founded
http://dbpedia.org/resource/1997–98_Southampton_F.C._season,1997–98 Southampton F.C. season,http://dbpedia.org/resource/The_Dell_(Southampton),Unknown
http://dbpedia.org/resource/1997–98_Tottenham_Hotspur_F.C._season,1997–98 Tottenham Hotspur F.C. season,http://dbpedia.org/resource/White_Hart_Lane,Unknown
http://dbpedia.org/resource/1997–98_West_Ham_United_F.C._season,1997–98 West Ham United F.C. season,http://dbpedia.org/resource/Boleyn_Ground,Unknown
http://dbpedia.org/resource/1997–98_Wimbledon_F.C._season,1997–98 Wimbledon F.C. season,http://dbpedia.org/resource/Selhurst_Park,Unknown
http://dbpedia.org/resource/1998–99_Arsenal_F.C._season,1998–99 Arsenal F.C. season,http://dbpedia.org/resource/Wembley_Stadium_(1923),Unknown
http://dbpedia.org/resource/1998–99_Aston_Villa_F.C._season,1998–99 Aston Villa F.C. season,http://dbpedia.org/resource/Villa_Park,Unknown
http://dbpedia.org/resource/1998–99_Blackburn_Rovers_F.C._season,1998–99 Blackburn Rovers F.C. season,Unknown,Unknown
http://dbpedia.org/resource/1998–99_Charlton_Athletic_F.C._season,1998–99 Charlton Athletic F.C. season,http://dbpedia.org/resource/The_Valley_(stadium),Unknown
http://dbpedia.org/resource/1998–99_Chelsea_F.C._season,1998–99 Chelsea F.C. season,Unknown,Unknown
http://dbpedia.org/resource/1998–99_Coventry_City_F.C._season,1998–99 Coventry City F.C. season,http://dbpedia.org/resource/Highfield_Road,Unknown
http://dbpedia.org/resource/1998–99_Derby_County_F.C._season,1998–99 Derby County F.C. season,http://dbpedia.org/resource/Pride_Park_Stadium,Unknown
http://dbpedia.org/resource/1998–99_Everton_F.C._season,1998–99 Everton F.C. season,http://dbpedia.org/resource/Goodison_Park,Unknown
http://dbpedia.org/resource/1998–99_Leeds_United_A.F.C._season,1998–99 Leeds United A.F.C. season,http://dbpedia.org/resource/Elland_Road,Unknown
http://dbpedia.org/resource/1998–99_Leicester_City_F.C._season,1998–99 Leicester City F.C. season,http://dbpedia.org/resource/Filbert_Street,Unknown
http://dbpedia.org/resource/1998–99_Liverpool_F.C._season,1998–99 Liverpool F.C. season,http://dbpedia.org/resource/Anfield,Unknown
http://dbpedia.org/resource/1998–99_Middlesbrough_F.C._season,1998–99 Middlesbrough F.C. season,http://dbpedia.org/resource/Riverside_Stadium,Unknown
http://dbpedia.org/resource/1998–99_Newcastle_United_F.C._season,1998–99 Newcastle United F.C. season,http://dbpedia.org/resource/St_James'_Park,Unknown
http://dbpedia.org/resource/1998–99_Nottingham_Forest_F.C._season,1998–99 Nottingham Forest F.C. season,http://dbpedia.org/resource/City_Ground,Unknown
http://dbpedia.org/resource/1998–99_Sheffield_Wednesday_F.C._season,1998–99 Sheffield Wednesday F.C. season,Unknown,Unknown
http://dbpedia.org/resource/1998–99_Southampton_F.C._season,1998–99 Southampton F.C. season,http://dbpedia.org/resource/The_Dell_(Southampton),Unknown
http://dbpedia.org/resource/1998–99_Tottenham_Hotspur_F.C._season,1998–99 Tottenham Hotspur F.C. season,http://dbpedia.org/resource/White_Hart_Lane,Unknown
http://dbpedia.org/resource/1998–99_West_Ham_United_F.C._season,1998–99 West Ham United F.C. season,http://dbpedia.org/resource/Boleyn_Ground,Unknown
http://dbpedia.org/resource/1998–99_Wimbledon_F.C._season,1998–99 Wimbledon F.C. season,http://dbpedia.org/resource/Selhurst_Park,Unknown
http://dbpedia.org/resource/1999–2000_Arsenal_F.C._season,1999–2000 Arsenal F.C. season,http://dbpedia.org/resource/Wembley_Stadium_(1923),Unknown
http://dbpedia.org/resource/1999–2000_Aston_Villa_F.C._season,1999–2000 Aston Villa F.C. season,http://dbpedia.org/resource/Villa_Park,Unknown
http://dbpedia.org/resource/1999–2000_Bradford_City_A.F.C._season,1999–2000 Bradford City A.F.C. season,http://dbpedia.org/resource/Valley_Parade,Unknown
http://dbpedia.org/resource/1999–2000_Chelsea_F.C._season,1999–2000 Chelsea F.C. season,Unknown,Unknown
http://dbpedia.org/resource/1999–2000_Coventry_City_F.C._season,1999–2000 Coventry City F.C. season,http://dbpedia.org/resource/Highfield_Road,Unknown
http://dbpedia.org/resource/1999–2000_Derby_County_F.C._season,1999–2000 Derby County F.C. season,http://dbpedia.org/resource/Pride_Park_Stadium,Unknown
http://dbpedia.org/resource/1999–2000_Everton_F.C._season,1999–2000 Everton F.C. season,http://dbpedia.org/resource/Goodison_Park,Unknown
http://dbpedia.org/resource/1999–2000_Leeds_United_A.F.C._season,1999–2000 Leeds United A.F.C. season,http://dbpedia.org/resource/Elland_Road,Unknown
http://dbpedia.org/resource/1999–2000_Leicester_City_F.C._season,1999–2000 Leicester City F.C. season,http://dbpedia.org/resource/Filbert_Street,Unknown
http://dbpedia.org/resource/1999–2000_Liverpool_F.C._season,1999–2000 Liverpool F.C. season,Unknown,Unknown
